ID,Summary,Issue Type,Priority,Sprint,Assignee,Story Points,Acceptance Criteria,Labels,Parent Epic
AURA-101,Audit existing AuraBookPro data model and plugin architecture,Story,Highest,Sprint 1,"Product Owner; Backend Engineer",3,"- Business, service, staff, plan, type, coupon, wallet, and booking entities are mapped
- WordPress custom post types and metadata sources are documented
- Payment dependencies are identified
- Unknowns and risks are captured in migration notes","migration; discovery; architecture","E01"
AURA-102,Define headless architecture and migration strategy,Story,Highest,Sprint 1,"Solution Architect; Product Owner",2,"- WordPress is defined as backend/admin system
- Next.js is defined as public frontend
- API strategy is approved
- Auth model is approved
- Deployment and rollback approach is documented","migration; architecture; planning","E01"
AURA-103,Create sprint plan and dependency map,Story,Highest,Sprint 1,Project Manager,2,"- Backlog is sequenced by dependency
- Each sprint has defined goals and deliverables
- Owner assignments are clear
- Dependencies are visible","planning; backlog; sprint","E01"
AURA-201,Expose business directory API,Story,Highest,Sprint 2,Backend Engineer,5,"- GET /wp-json/aurabookpro/v1/businesses returns paginated list
- Filters support category, city, search, and sort
- GET /businesses/:id returns a full record
- Public/private field separation is enforced","api; backend; business","E02"
AURA-202,Expose service and type APIs,Story,Highest,Sprint 2,Backend Engineer,4,"- GET /services returns public service records
- GET /services/:id returns a single service
- GET /types returns all types
- Pricing and duration fields are included
- Service-business relationships are mapped correctly","api; backend; services","E02"
AURA-203,Expose availability and calendar APIs,Story,Highest,Sprint 3,Backend Engineer,6,"- GET /availability returns valid slots by date and service
- Staff-specific availability works
- Business hours and exceptions are respected
- Invalid dates return clear error payloads","api; booking; availability","E02"
AURA-204,Create customer auth and session API,Story,Highest,Sprint 2,Backend Engineer,5,"- Login API works with WP user credentials
- Registration API creates account and default role
- Logout invalidates session
- Password reset flow exists
- Unauthenticated requests are rejected appropriately","api; auth; security","E02"
AURA-205,Create profile and account API,Story,High,Sprint 2,Backend Engineer,3,"- GET /me returns authenticated customer profile
- PUT /me/profile updates valid profile fields
- Validation exists for name, email, phone, and address
- Unauthorized access is rejected","api; profile; customer","E02"
AURA-206,Create order and payment API,Story,Highest,Sprint 6,Backend Engineer,7,"- POST /orders/create creates order and booking lock
- GET /orders/:id returns order data
- POST /payment/confirm processes callback
- Payment failure returns structured error
- Payment status transitions are consistent","api; payment; orders","E02"
AURA-207,Expose customer bookings and wishlist APIs,Story,High,Sprint 5,Backend Engineer,3,"- GET /me/bookings returns booking history
- GET /me/wishlist returns saved businesses/services
- Booking list includes status and timestamps
- Wishlist endpoints enforce user authentication","api; customer; bookings","E02"
